fecha,clave,autor,paper,docu,titulo,sede,ciudad,docu_1
2023,Comunicación,"CARVAJAL, Miguel; KALTENBRUNNER, Andy; LUGISTZ, Renée; VALERO, José María ",,,"European Media Management Association 2023 ""Perspectives on Media Trust""",Universidad de Navarra,Pamplona (España),
2022,Comunicación,"ARIAS, Félix; DE LARA, Alicia; GARCÍA-AVILÉS, José-Alberto; MONDÉJAR, Dámaso; VALERO, José María; CARVAJAL, Miguel",La relación entre tecnología e innovación en el periodismo: el caso de España,Investigacion_Congresos_Comunicacion_2022_SEP_Valencia.pdf,"XXVIII Congreso Internacional de la SEP ""Desinformación y desórdenes informativos""",Universidad de Valencia,Valencia (España),
2021,Comunicación,"GARCÍA-AVILÉS, José-Alberto; ARIAS, Félix; DE LARA, Alicia; CARVAJAL, Miguel; VALERO, José María; MONDÉJAR, Dámaso",How Covid-19 is revamping journalism: newsroom practices and innovations in the Spanish media,Investigacion_Congresos_Comunicacion_2021_FoJC.pdf,Future of Journalism Conference,Cardiff University,"Cardiff (Gales, RU)",
2021,Comunicación,"CARVAJAL, Miguel; DE LARA, Alicia; MONDÉJAR, Dámaso; GARCÍA-AVILÉS, José-Alberto; ARIAS, Félix; VALERO, José María",Las innovaciones periodísticas más relevantes (2010-2020): valor aportado e impacto en la industria mediática española,Investigacion_Congresos_Comunicacion_2021_SEP_Sevilla.pdf,"XXVII Congreso Internacional de la SEP ""Digital Transformation!""",Universidad de Sevilla,Sevilla (España),
2021,Comunicación,"VALERO, José María; CARVAJAL, Miguel; GARCÍA-AVILÉS, José-Alberto; MONDÉJAR, Dámaso; ARIAS, Félix; DE LARA, Alicia","Don’t say failed innovation, say failed implementation! The unsuccessful introduction of early paywalls and chatbots in the Spanish news market",Investigacion_Congresos_Comunicacion_2021_EMMA_.pdf,"European Media Management Association 2021 ""Media management and sustainability""",Jönköping University,Jönköping (Suecia),
2021,Comunicación,"CARVAJAL, Miguel",Propuesta metodológica para la medición de la innovación periodística desde la óptica del impacto y los resultados,Investigacion_Congresos_Comunicacion_2021_ICOMTA.pdf,Conferencia Internacional de Comunicación y Tecnologías Aplicadas del 2021,Universidad del Rosario,Bogotá (Colombia),
2018,Comunicación,"CARVAJAL, Miguel; VALERO-PASTOR, José María",Mapping New Revenue Streams for Journal­ ism in the Age of Technology Platforms and Social Media: The Case of Spain,Investigacion_Congresos_Comunicacion_2018_SEP_Malaga.pdf,Media Management in the Age of Big Data,University of Warsaw,Varsovia (Polonia),
2018,Comunicación,"CARVAJAL, Miguel; VALERO-PASTOR, José María",Panorama de las vías de ingresos para el periodismo en España,Investigacion_Congresos_Comunicacion_2018_SEP_Malaga.pdf,XXIV Congreso Internacional de la Sociedad Española de Periodística,Universidad de Málaga,Málaga (España),
2018,Comunicación,"CARVAJAL, Miguel; BARINAGA, Iker",Nuevos equipos de branded content y publicidad nativa en diarios españoles,Investigación_Congresos_Comunicacion_2017_SEP_UMH.pdf,XXIV Congreso Internacional de la Sociedad Española de Periodística,Universidad de Málaga,Málaga (España),
2017,Comunicación,"VALERO-PASTOR, José María; CARVAJAL, Miguel",Organización de equipos multidisciplinares: el periodismo de datos en El País,Investigación_Congresos_Comunicacion_2018_EMMA.pdf,XXIII Congreso Internacional de la Sociedad Española de Periodística,Universidad Miguel Hernández,Elche (España),
2016,Comunicación,"ARIAS, Félix; CARVAJAL, Miguel; DE LARA, Alicia; GARCÍA-AVILÉS, José-Alberto",Innovators in the newsroom. Examining diffusion theory of innovation in media outlets,Investigación_Congresos_Comunicacion_2016_ISMI_Oslo.pdf,5th International Symposium on Media Innovations,University of Oslo,Oslo (Noruega),
2016,Comunicación,"CARVAJAL, Miguel",Business models for journalism in the age of content discovery platforms,Investigación_Congresos_Comunicacion_2016_WMEMC.pdf,12th World Media Economics and Management Conference,Fordham University,Manhattan (Estados Unidos),
2016,Comunicación,"ARIAS, Félix; DE LARA, Alicia; CARVAJAL, Miguel; GARCÍA-AVILÉS, José-Alberto",Innovar en las redacciones. Perspectiva y aplicación práctica en los medios españoles,Investigación_Congresos_Comunicacion_2016_Porto.pdf,V Congresso Internacional de Ciberjournalismo,Faculdade de Letras da Universidade do Porto,Oporto (Portugal),
2015,Comunicación,"CARVAJAL, Miguel; GARCÍA-AVILÉS, José-Alberto; DE LARA, Alicia; ARIAS, Félix",Let's keep them engaged. Exploring strategies of audience participation among the most innovative media in Spain,Investigacion_Congresos_Comunicacion_2015_UPFabra.pdf,Shaping the Future of News Media,Universidad Pompeu Fabra,Barcelona (España),
2014,Comunicación,"DE LARA, Alicia; CARVAJAL, Miguel; ARIAS, Félix; GARCÍA-AVILÉS, José-Alberto",Innovar más allá del producto periodístico. El caso de las 25 iniciativas del Ranking de Innovación Periodística en España 2014,Investigacion_Congresos_Comunicacion_2014_Huesca.pdf,XVI Congreso de Periodismo Digital,Asociación de Periodistas de Aragón,Huesca (España),
2013,Comunicación,"AMOEDO, Avelino; ARIAS, Félix; CARVAJAL, Miguel; NEGREDO, Samuel",Modelos internacionales de innovación en periodismo: una propuesta metodológica,Investigacion_Congresos_Comunicacion_2013_SEP.pdf,XIX Congreso de la Sociedad Española de Periodística,Universidad Jaime I de Castellón,Castellón (España),
2012,Comunicación,"CARVAJAL, Miguel",Estrategias de distribución del contenido periodístico en dispositivos móviles: Análisis comparativo de los principales editores de prensa española,Investigacion_Congresos_Comunicacion_2012_Latina.pdf,IV Congreso Internacional Latina de Comunicación,Universidad de La Laguna,Tenerife (España),
2011,Comunicación,"CARVAJAL, Miguel; GARCÍA AVILÉS, José Alberto; GONZÁLEZ ESTEBAN, José Luis",Crowdfunding and non profit-media: The Emergence of New Models for Public Interest Journalism,Investigacion_Congresos_Comunicacion_2011_FoJC.pdf,Future of Journalism Conference,Cardiff University,"Cardiff (Gales, RU)",
2011,Comunicación,"CARVAJAL, Miguel",La crisis de la prensa: encrucijadas y retos,Investigacion_Congresos_Comunicacion_2011_ECREA.pdf,"VI Jornadas Internacionales de Periodismo UMH ""Medios, política y ciudadanía""",Universidad Miguel Hernández de Elche,Elche (España),
2011,Comunicación,"CARVAJAL, Miguel; GARCÍA AVILÉS, José Alberto; GONZÁLEZ ESTEBAN, José Luis","The News Production Process about the U.S. Embassy Cables: How The Guardia, The New York Times and El País covered and released the documents provided by Wikileaks",Investigación_Congresos_Comunicacion_2011_JPUMH.pdf,Diversity of Journalisms. ECREA Journalism Studies,Universidad de Navarra,Pamplona (España),
2009,Comunicación,"GONZÁLEZ ESTEBAN, José Luis; GARCÍA AVILÉS, José Alberto; CARVAJAL, Miguel; GONZÁLEZ, Isabel; JURADO, Monserrat; DE LARA, Alicia; NAVARRO, Fátima",La sociedad de la información en la provincia de Alicante: propuesta metodológica y análisis de caso,Investigacion_Congresos_Comunicacion_2009_CICOM.pdf,"XXIII Congreso Internacional de Comunicación, Excelencia e Innovación en la Comunicación",Universidad de Navarra,Pamplona (España),
2009,Comunicación,"CARVAJAL, Miguel",Internet y la web 2.0 en el ámbito local: análisis de su impacto en las redacciones en Elche,Investigacion_Congresos_Comunicacion_2009_ComLoc.pdf,IX Congreso de Comunicación Local,Universidad Jaime I de Castellón,Castellón (España),
2009,Comunicación,"MARTINEZ-MAHUGO, Sergio; CARVAJAL, Miguel",Herramientas para fomentar la participación ciudadana en seis diarios nacionales,Investigacion_Congresos_Comunicacion_2009_SEP_UCAM.pdf,XV Congreso de la Sociedad Española de Periodística,Universidad Católica San Antonio de Murcia,Murcia (España),
2008,Comunicación,"CARVAJAL, Miguel; GARCÍA AVILÉS, José Alberto",Convergencia de redacciones: Una metodología para el análisis comparativo de casos,Investigacion_Congresos_Comunicacion_2008_WMEMC.pdf,8th World Media Economics Conference,"Journal of Media Economics, Media XXI",Lisboa (Portugal),
2008,Comunicación,"CARVAJAL, Miguel",Respuestas estratégicas de los editores de pago ante los gratuitos: la compra de Qué!,Investigacion_Congresos_Comunicacion_2008_EMMA_IESE.pdf,EMMA Conference: The Changing Media Business,IESE Universidad de Navarra,Barcelona (España),
2008,Comunicación,"CARVAJAL, Miguel",Respuestas estratégicas de los editores de prensa regional (…): análisis de los casos de Vocento y Prensa Ibérica,Investigacion_Congresos_Comunicacion_2008_AE-IC.pdf,I + C Investigar la Comunicación,"AE-IC, Universidad de Santiago",Santiago (España),
2007,Comunicación,"CARVAJAL, Miguel; GARCÍA AVILÉS, José Alberto",From newspapers to multimedia groups: business growth strategies of the regional press in Spain,Investigacion_Congresos_Comunicacion_2007_FoJC.pdf,Future of newspapers,Cardiff University,"Cardiff (Gales, RU)",
2006,Comunicación,"CARVAJAL, Miguel",La prensa tradicional y sus retos,Investigacion_Congresos_Comunicacion_2006_NuevoPer.pdf,I Congreso Internacional de Nuevo Periodismo,"Valencia, CEU",Valencia (España),
2001,Comunicación,"CARVAJAL, Miguel",Globalización en la industria cinematográfica,Investigación_Congresos_Comunicacion_2001_Univ.pdf,XXXIV Congreso Internacional UNIV,Unversidad de Navarra,Pamplona (España),
